Player,adr,assists__per__round,b_adr,b_assists__per__round,b_damage__per__round,b_deaths__per__round,b_dpr,b_grenade_dmg__per__round,b_headshot_%,b_impact,b_k_per_d_ratio,b_kast,b_kills__per__round,b_kpr,b_maps_played,b_rating,b_rating_2.0,b_rounds_played,b_saved_by_teammate__per__round,b_saved_teammates__per__round,b_total_deaths,b_total_kills,b_vs_top10,b_vs_top20,b_vs_top30,b_vs_top5,damage__per__round,deaths__per__round,dpr,grenade_dmg__per__round,headshot_%,impact,k_per_d_ratio,kast,kills__per__round,kpr,m_adr,m_assists__per__round,m_damage__per__round,m_deaths__per__round,m_dpr,m_grenade_dmg__per__round,m_headshot_%,m_impact,m_k_per_d_ratio,m_kast,m_kills__per__round,m_kpr,m_maps_played,m_rating,m_rating_1.0,m_rating_2.0,m_rounds_played,m_saved_by_teammate__per__round,m_saved_teammates__per__round,m_total_deaths,m_total_kills,m_vs_top10,m_vs_top20,m_vs_top30,m_vs_top5,maps_played,rating,rating_2.0,rounds_played,saved_by_teammate__per__round,saved_teammates__per__round,total_deaths,total_kills,vs_top10,vs_top20,vs_top30,vs_top5,MVPs,EVPs,Rank
ZywOo,82.6,0.12,83.0,0.13,83.0,0.58,0.58,3.6,42.7,1.37,1.42,76.7,0.81,0.81,108.0,1.3,1.3,2796.0,0.09,0.11,1609.0,2277.0,1.26,1.28,1.3,1.3,82.6,0.57,0.57,3.5,42.9,1.36,1.43,76.7,0.81,0.81,86.7,0.11,86.7,0.56,0.56,3.5,35.0,1.47,1.6,78.0,0.89,0.89,10.0,1.39,-1.0,1.39,277.0,0.09,0.1,154.0,246.0,1.47,1.36,1.39,1.39,137.0,1.3,1.3,3541.0,0.08,0.12,2019.0,2878.0,1.27,1.29,1.3,1.31,5,0,1
NiKo,83.7,0.14,83.0,0.14,83.0,0.63,0.63,7.2,54.3,1.22,1.18,73.1,0.74,0.74,97.0,1.18,1.18,2490.0,0.07,0.1,1569.0,1850.0,1.2,1.17,1.18,1.19,83.7,0.63,0.63,7.3,55.6,1.27,1.2,72.8,0.76,0.76,82.4,0.13,82.4,0.65,0.65,11.1,53.4,1.31,1.15,69.7,0.74,0.74,11.0,1.18,-1.0,1.18,294.0,0.12,0.09,190.0,219.0,1.18,1.18,1.18,1.18,147.0,1.2,1.2,3745.0,0.08,0.1,2367.0,2842.0,1.2,1.17,1.18,1.19,1,0,2
ropz,80.0,0.11,79.4,0.12,79.4,0.61,0.61,3.5,57.8,1.12,1.23,73.0,0.74,0.74,120.0,1.16,1.16,3038.0,0.06,0.09,1841.0,2259.0,1.13,1.15,1.15,1.16,80.0,0.61,0.61,3.4,56.4,1.13,1.24,73.2,0.75,0.75,85.8,0.11,85.8,0.61,0.61,3.8,58.7,1.21,1.26,71.0,0.77,0.77,20.0,1.2,-1.0,1.2,551.0,0.06,0.11,337.0,426.0,1.21,1.23,1.2,1.2,177.0,1.17,1.17,4504.0,0.06,0.1,2729.0,3388.0,1.16,1.16,1.16,1.17,3,0,3
m0NESY,75.4,0.09,76.1,0.09,76.1,0.59,0.59,2.4,39.5,1.21,1.28,73.3,0.76,0.76,97.0,1.2,1.2,2490.0,0.11,0.09,1476.0,1888.0,1.18,1.18,1.19,1.19,75.4,0.59,0.59,2.5,38.5,1.19,1.26,73.3,0.75,0.75,79.5,0.11,79.5,0.6,0.6,2.6,34.5,1.34,1.26,72.4,0.76,0.76,11.0,1.23,-1.0,1.23,294.0,0.12,0.13,177.0,223.0,1.21,1.23,1.23,1.23,147.0,1.18,1.18,3745.0,0.1,0.1,2227.0,2809.0,1.15,1.17,1.17,1.16,0,0,4
Spinx,79.3,0.12,78.2,0.13,78.2,0.62,0.62,3.5,53.7,1.13,1.21,74.7,0.74,0.74,108.0,1.16,1.16,2796.0,0.08,0.1,1720.0,2079.0,1.13,1.15,1.15,1.16,79.3,0.61,0.61,3.5,53.7,1.14,1.22,75.1,0.75,0.75,81.0,0.12,81.0,0.6,0.6,4.4,52.6,1.18,1.3,77.6,0.78,0.78,10.0,1.24,-1.0,1.24,277.0,0.08,0.06,165.0,215.0,1.4,1.42,1.24,1.24,137.0,1.18,1.18,3541.0,0.08,0.1,2177.0,2662.0,1.15,1.17,1.17,1.17,0,0,5
SunPayus,71.5,0.09,74.2,0.1,74.2,0.58,0.58,2.8,29.7,1.18,1.27,73.3,0.73,0.73,81.0,1.17,1.17,2118.0,0.08,0.1,1222.0,1549.0,1.11,1.13,1.17,1.17,71.5,0.58,0.58,2.8,29.6,1.1,1.22,73.5,0.71,0.71,62.0,0.09,62.0,0.61,0.61,2.9,30.2,0.94,1.02,72.0,0.63,0.63,10.0,1.0,-1.0,1.0,254.0,0.09,0.1,156.0,159.0,0.95,1.03,1.0,1.0,162.0,1.13,1.13,4176.0,0.08,0.1,2419.0,2949.0,1.1,1.12,1.14,1.13,1,0,6
s1mple,77.4,0.09,78.6,0.09,78.6,0.62,0.62,2.8,38.5,1.2,1.22,71.3,0.76,0.76,74.0,1.18,1.18,1983.0,0.08,0.1,1223.0,1498.0,1.17,1.18,1.17,1.17,77.4,0.61,0.61,3.0,39.8,1.18,1.24,72.6,0.75,0.75,76.2,0.1,76.2,0.68,0.68,4.4,41.5,1.13,1.01,68.9,0.69,0.69,8.0,1.07,-1.0,1.07,212.0,0.08,0.09,145.0,147.0,1.14,1.21,1.06,1.07,106.0,1.18,1.18,2857.0,0.08,0.1,1736.0,2149.0,1.16,1.19,1.18,1.18,0,0,7
sh1ro,77.3,0.1,75.4,0.09,75.4,0.57,0.57,3.8,30.8,1.14,1.34,74.3,0.77,0.77,75.0,1.19,1.19,1981.0,0.07,0.12,1139.0,1530.0,1.19,1.18,1.18,1.19,77.3,0.55,0.55,4.2,30.5,1.18,1.41,75.7,0.78,0.78,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,151.0,1.24,1.24,4061.0,0.07,0.12,2247.0,3179.0,1.2,1.22,1.22,1.23,0,0,8
stavn,81.1,0.16,81.3,0.15,81.3,0.65,0.65,6.5,42.9,1.16,1.14,73.9,0.74,0.74,93.0,1.16,1.16,2518.0,0.1,0.13,1633.0,1863.0,1.11,1.12,1.15,1.15,81.1,0.65,0.65,6.4,43.9,1.14,1.12,73.9,0.73,0.73,83.8,0.14,83.8,0.65,0.65,7.2,38.3,1.3,1.17,72.9,0.76,0.76,11.0,1.19,-1.0,1.19,292.0,0.09,0.15,190.0,222.0,1.24,1.24,1.19,1.19,124.0,1.15,1.15,3298.0,0.1,0.13,2152.0,2407.0,1.08,1.1,1.13,1.14,0,0,9
broky,73.9,0.11,74.1,0.11,74.1,0.61,0.61,3.6,33.8,1.05,1.2,73.9,0.73,0.73,120.0,1.13,1.13,3038.0,0.1,0.1,1853.0,2231.0,1.12,1.11,1.13,1.13,73.9,0.61,0.61,3.7,34.6,1.04,1.18,74.0,0.73,0.73,74.8,0.09,74.8,0.62,0.62,3.0,37.4,0.96,1.21,77.0,0.75,0.75,20.0,1.15,-1.0,1.15,551.0,0.12,0.12,340.0,412.0,1.15,1.16,1.15,1.15,177.0,1.13,1.13,4504.0,0.1,0.1,2765.0,3273.0,1.1,1.11,1.12,1.13,0,0,10
device,79.3,0.1,78.7,0.1,78.7,0.59,0.59,4.8,30.7,1.29,1.3,73.3,0.77,0.77,54.0,1.22,1.22,1451.0,0.07,0.09,859.0,1120.0,1.21,1.22,1.2,1.2,79.3,0.59,0.59,4.7,31.6,1.27,1.3,72.9,0.77,0.77,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,164.0,1.22,1.22,4293.0,0.07,0.08,2546.0,3303.0,1.19,1.22,1.21,1.2,0,0,11
frozen,82.6,0.16,80.1,0.16,80.1,0.56,0.56,7.2,49.6,1.09,1.25,75.6,0.7,0.7,82.0,1.18,1.18,2074.0,0.08,0.09,1168.0,1461.0,1.14,1.17,1.18,1.18,82.6,0.58,0.58,6.6,51.6,1.13,1.26,75.1,0.73,0.73,82.0,0.07,82.0,0.61,0.61,3.5,46.3,1.09,1.32,73.3,0.81,0.81,4.0,1.18,-1.0,1.18,101.0,0.06,0.09,62.0,82.0,-1.0,1.24,1.24,1.18,144.0,1.2,1.2,3559.0,0.07,0.1,2069.0,2606.0,1.17,1.18,1.19,1.2,0,0,12
huNter-,76.5,0.14,76.6,0.14,76.6,0.65,0.65,6.4,48.1,1.04,1.09,71.8,0.71,0.71,97.0,1.09,1.09,2490.0,0.09,0.12,1625.0,1766.0,1.09,1.07,1.07,1.08,76.5,0.65,0.65,6.5,48.1,1.04,1.08,72.0,0.7,0.7,79.2,0.15,79.2,0.61,0.61,7.1,50.0,1.01,1.19,74.5,0.73,0.73,11.0,1.14,-1.0,1.14,294.0,0.1,0.14,180.0,214.0,1.19,1.08,1.14,1.14,147.0,1.09,1.09,3745.0,0.09,0.11,2432.0,2636.0,1.06,1.06,1.07,1.07,1,0,13
NertZ,79.9,0.13,76.5,0.12,76.5,0.64,0.64,4.0,50.0,1.15,1.11,71.0,0.71,0.71,81.0,1.11,1.11,2118.0,0.08,0.09,1350.0,1501.0,1.04,1.06,1.08,1.1,79.9,0.64,0.64,3.9,50.4,1.21,1.16,72.1,0.74,0.74,79.3,0.14,79.3,0.65,0.65,4.1,43.7,1.15,1.1,71.7,0.72,0.72,10.0,1.12,-1.0,1.12,254.0,0.1,0.07,166.0,183.0,1.16,1.14,1.12,1.12,166.0,1.16,1.16,4255.0,0.08,0.09,2719.0,3145.0,1.08,1.1,1.1,1.11,0,0,14
jabbi,73.6,0.13,74.0,0.13,74.0,0.64,0.64,4.5,56.2,1.1,1.07,73.4,0.69,0.69,92.0,1.1,1.1,2496.0,0.11,0.11,1605.0,1725.0,1.1,1.1,1.1,1.1,73.6,0.64,0.64,4.4,56.6,1.11,1.08,73.0,0.69,0.69,69.7,0.15,69.7,0.63,0.63,4.8,57.2,0.98,0.97,74.0,0.62,0.62,11.0,1.04,-1.0,1.04,292.0,0.14,0.11,185.0,180.0,1.08,1.08,1.04,1.04,123.0,1.1,1.1,3276.0,0.11,0.11,2096.0,2259.0,1.09,1.09,1.1,1.1,1,0,15
blameF,83.6,0.14,81.9,0.14,81.9,0.59,0.59,8.6,37.5,1.13,1.23,74.0,0.72,0.72,54.0,1.18,1.18,1451.0,0.08,0.09,850.0,1045.0,1.18,1.14,1.16,1.16,83.6,0.58,0.58,7.6,37.1,1.23,1.29,74.6,0.75,0.75,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,164.0,1.23,1.23,4293.0,0.07,0.1,2511.0,3236.0,1.16,1.18,1.19,1.2,0,0,16
Magisk,77.5,0.14,76.8,0.14,76.8,0.63,0.63,7.0,50.5,1.06,1.08,73.2,0.68,0.68,90.0,1.1,1.1,2413.0,0.09,0.09,1511.0,1630.0,1.06,1.07,1.08,1.09,77.5,0.62,0.62,6.9,50.8,1.06,1.1,74.0,0.68,0.68,80.6,0.14,80.6,0.65,0.65,7.1,49.0,1.11,1.12,73.6,0.72,0.72,10.0,1.14,-1.0,1.14,277.0,0.08,0.12,179.0,200.0,1.11,1.09,1.14,1.14,119.0,1.12,1.12,3158.0,0.1,0.09,1964.0,2152.0,1.07,1.07,1.08,1.1,0,0,17
cadiaN,71.1,0.12,71.6,0.12,71.6,0.58,0.58,7.5,29.8,1.07,1.12,71.2,0.66,0.66,99.0,1.09,1.09,2651.0,0.08,0.09,1549.0,1737.0,1.1,1.07,1.08,1.08,71.1,0.58,0.58,7.3,29.4,1.06,1.13,71.7,0.66,0.66,75.0,0.12,75.0,0.57,0.57,7.2,34.1,1.19,1.25,71.9,0.71,0.71,11.0,1.16,-1.0,1.16,292.0,0.04,0.1,167.0,208.0,1.19,1.19,1.16,1.16,125.0,1.09,1.09,3312.0,0.08,0.09,1926.0,2185.0,1.09,1.07,1.08,1.08,0,0,18
KSCERATO,80.4,0.15,82.0,0.15,82.0,0.58,0.58,6.8,46.3,1.17,1.26,75.4,0.73,0.73,49.0,1.21,1.21,1308.0,0.1,0.09,755.0,954.0,1.16,1.11,1.13,1.19,80.4,0.59,0.59,6.3,50.1,1.12,1.22,75.4,0.72,0.72,71.0,0.1,71.0,0.62,0.62,6.2,49.0,0.95,0.88,64.9,0.54,0.54,4.0,0.97,-1.0,0.97,94.0,0.02,0.07,58.0,51.0,0.93,1.02,0.97,0.97,140.0,1.18,1.18,3516.0,0.08,0.09,2061.0,2521.0,1.17,1.13,1.13,1.17,0,0,19
Twistzz,74.3,0.14,73.7,0.14,73.7,0.63,0.63,5.2,57.9,1.0,1.07,73.1,0.67,0.67,111.0,1.08,1.08,2834.0,0.1,0.11,1776.0,1902.0,1.05,1.04,1.06,1.06,74.3,0.63,0.63,5.1,57.5,1.03,1.09,73.7,0.68,0.68,72.1,0.14,72.1,0.67,0.67,6.0,53.0,0.94,0.93,71.7,0.63,0.63,20.0,1.01,-1.0,1.01,551.0,0.15,0.1,371.0,345.0,0.95,1.01,1.01,1.01,168.0,1.1,1.1,4300.0,0.1,0.11,2691.0,2941.0,1.07,1.06,1.08,1.09,0,0,20
torzsi,69.5,0.09,68.1,0.08,68.1,0.57,0.57,2.3,33.2,1.03,1.21,73.4,0.69,0.69,81.0,1.11,1.11,2037.0,0.09,0.09,1151.0,1397.0,1.06,1.06,1.1,1.11,69.5,0.57,0.57,2.5,32.0,1.07,1.22,73.5,0.7,0.7,63.1,0.07,63.1,0.67,0.67,1.0,20.0,0.7,0.88,64.4,0.59,0.59,4.0,0.86,-1.0,0.86,101.0,0.09,0.09,68.0,60.0,-1.0,0.82,0.82,0.86,143.0,1.12,1.12,3522.0,0.08,0.09,2015.0,2463.0,1.09,1.05,1.1,1.11,1,0,21
electroNic,78.8,0.16,80.5,0.17,80.5,0.69,0.69,4.8,48.5,1.22,1.03,70.0,0.72,0.72,95.0,1.11,1.11,2463.0,0.11,0.11,1707.0,1764.0,1.05,1.09,1.1,1.1,78.8,0.69,0.69,4.9,48.6,1.18,1.02,70.9,0.7,0.7,75.9,0.15,75.9,0.74,0.74,4.5,46.2,1.2,0.92,67.0,0.68,0.68,8.0,1.03,-1.0,1.03,212.0,0.11,0.08,157.0,145.0,0.96,1.01,0.99,1.03,145.0,1.1,1.1,3685.0,0.12,0.1,2530.0,2575.0,1.04,1.08,1.09,1.09,0,0,22
EliGE,81.0,0.16,78.1,0.16,78.1,0.67,0.67,4.2,53.0,1.12,1.04,71.0,0.7,0.7,78.0,1.09,1.09,2009.0,0.1,0.12,1350.0,1403.0,1.1,1.09,1.08,1.09,81.0,0.66,0.66,4.8,49.8,1.17,1.09,72.2,0.72,0.72,73.0,0.14,73.0,0.65,0.65,3.8,51.7,1.0,0.99,73.6,0.65,0.65,18.0,1.05,-1.0,1.05,485.0,0.11,0.1,317.0,315.0,0.93,1.02,1.07,1.05,162.0,1.13,1.13,4084.0,0.1,0.12,2695.0,2947.0,1.08,1.08,1.09,1.11,0,0,23
rain,77.3,0.16,78.0,0.16,78.0,0.68,0.68,6.0,59.3,1.12,0.98,70.4,0.67,0.67,120.0,1.07,1.07,3038.0,0.09,0.08,2080.0,2047.0,1.04,1.06,1.06,1.06,77.3,0.69,0.69,5.6,58.3,1.11,0.97,70.2,0.67,0.67,73.9,0.14,73.9,0.72,0.72,4.7,53.2,1.1,0.9,69.0,0.64,0.64,20.0,1.02,-1.0,1.02,551.0,0.12,0.1,394.0,355.0,0.99,1.02,1.02,1.02,170.0,1.06,1.06,4335.0,0.1,0.08,2977.0,2897.0,1.04,1.06,1.06,1.06,1,0,24
xertioN,80.0,0.16,80.1,0.15,80.1,0.7,0.7,5.2,52.2,1.18,1.0,70.1,0.7,0.7,81.0,1.09,1.09,2037.0,0.09,0.08,1420.0,1425.0,1.04,1.09,1.09,1.09,80.0,0.7,0.7,5.1,53.3,1.18,1.01,70.8,0.7,0.7,81.4,0.11,81.4,0.75,0.75,4.0,56.5,0.98,0.91,64.4,0.68,0.68,4.0,1.0,-1.0,1.0,101.0,0.09,0.09,76.0,69.0,-1.0,1.07,1.07,1.0,143.0,1.1,1.1,3522.0,0.1,0.08,2451.0,2477.0,1.06,1.08,1.08,1.09,0,0,25
Ax1Le,80.3,0.14,79.0,0.14,79.0,0.68,0.68,6.3,48.6,1.13,1.04,70.5,0.71,0.71,81.0,1.09,1.09,2045.0,0.09,0.09,1389.0,1448.0,1.08,1.06,1.07,1.09,80.3,0.65,0.65,6.0,49.7,1.15,1.13,72.6,0.73,0.73,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,175.0,1.14,1.14,4493.0,0.08,0.1,2912.0,3277.0,1.09,1.1,1.12,1.14,0,0,26
sdy,78.7,0.15,78.1,0.16,78.1,0.65,0.65,5.0,42.9,1.03,1.09,72.4,0.71,0.71,46.0,1.09,1.09,1181.0,0.1,0.1,766.0,834.0,1.14,1.12,1.1,1.1,78.7,0.64,0.64,4.9,47.1,1.08,1.12,73.2,0.71,0.71,76.3,0.14,76.3,0.62,0.62,4.2,42.5,0.86,1.13,73.5,0.71,0.71,16.0,1.06,-1.0,1.06,407.0,0.08,0.11,254.0,287.0,1.12,1.14,1.06,1.06,346.0,1.12,1.12,9022.0,0.1,0.1,5732.0,6419.0,1.12,1.1,1.08,1.08,1,0,27
b1t,73.0,0.11,73.0,0.12,73.0,0.63,0.63,3.5,64.2,1.07,1.09,71.9,0.68,0.68,99.0,1.09,1.09,2520.0,0.09,0.09,1580.0,1717.0,1.07,1.07,1.07,1.07,73.0,0.62,0.62,3.3,64.3,1.05,1.09,72.3,0.68,0.68,72.0,0.11,72.0,0.69,0.69,4.6,69.1,0.95,0.93,68.9,0.64,0.64,8.0,1.0,-1.0,1.0,212.0,0.08,0.08,146.0,136.0,1.0,1.07,0.95,1.0,131.0,1.09,1.09,3394.0,0.09,0.09,2120.0,2311.0,1.05,1.06,1.07,1.07,0,0,28
iM,80.8,0.14,78.1,0.14,78.1,0.67,0.67,3.3,47.0,1.14,1.04,69.9,0.7,0.7,65.0,1.09,1.09,1594.0,0.08,0.07,1071.0,1110.0,1.06,1.08,1.09,1.09,80.8,0.67,0.67,3.5,43.8,1.18,1.08,70.7,0.73,0.73,86.5,0.13,86.5,0.64,0.64,3.0,42.7,1.35,1.23,72.5,0.79,0.79,21.0,1.25,-1.0,1.25,542.0,0.09,0.1,348.0,429.0,1.22,1.26,1.25,1.25,176.0,1.13,1.13,4557.0,0.08,0.08,3063.0,3307.0,1.02,1.05,1.06,1.08,0,0,29
NAF,78.3,0.14,77.5,0.14,77.5,0.6,0.6,6.3,41.3,0.92,1.12,74.3,0.67,0.67,58.0,1.1,1.1,1617.0,0.09,0.1,975.0,1089.0,1.05,1.04,1.07,1.09,78.3,0.6,0.6,6.1,41.3,0.95,1.13,74.2,0.68,0.68,84.1,0.15,84.1,0.58,0.58,6.0,40.3,1.1,1.24,77.7,0.72,0.72,18.0,1.23,-1.0,1.23,485.0,0.11,0.1,283.0,350.0,1.19,1.26,1.23,1.23,114.0,1.11,1.11,3097.0,0.09,0.11,1873.0,2115.0,1.07,1.04,1.08,1.11,0,0,30
